date,open,high,low,close,volume
2020-09-18 13:33:00,93.06,93.29,93.05,93.29,1526.0
2020-09-18 13:34:00,93.32,93.38,93.32,93.36,4602.0
2020-09-18 13:35:00,93.37,93.4,93.29,93.32,7027.0
2020-09-18 13:36:00,93.27,93.33,93.27,93.33,846.0
2020-09-18 13:37:00,93.28,93.28,93.16,93.22,5930.0
2020-09-18 13:38:00,93.27,93.27,93.12,93.17,2324.0
2020-09-18 13:39:00,93.09,93.09,92.97,93.06,9021.0
2020-09-18 13:40:00,93.18,93.24,93.18,93.24,1499.0
2020-09-18 13:41:00,93.28,93.37,93.26,93.3,2611.0
2020-09-18 13:42:00,93.27,93.37,93.27,93.34,2629.0
2020-09-18 13:43:00,93.24,93.295,93.23,93.26,2609.0
2020-09-18 13:44:00,93.26,93.46,93.26,93.46,1683.0
2020-09-18 13:45:00,93.45,93.57,93.43,93.53,3373.0
2020-09-18 13:46:00,93.5,93.62,93.46,93.62,2201.0
2020-09-18 13:47:00,93.58,93.6,93.54,93.56,1666.0
2020-09-18 13:48:00,93.6242,93.71,93.62,93.68,2563.0
2020-09-18 13:49:00,93.68,93.68,93.65,93.68,845.0
2020-09-18 13:50:00,93.68,93.69,93.64,93.65,1254.0
2020-09-18 13:51:00,93.68,93.71,93.65,93.71,3192.0
2020-09-18 13:52:00,93.71,93.76,93.71,93.749,2973.0
2020-09-18 13:53:00,93.73,93.73,93.65,93.65,933.0
2020-09-18 13:54:00,93.7,93.7,93.7,93.7,935.0
2020-09-18 13:55:00,93.68,93.76,93.68,93.76,706.0
2020-09-18 13:56:00,93.81,93.89,93.79,93.87,1648.0
2020-09-18 13:57:00,93.89,93.89,93.83,93.83,981.0
2020-09-18 13:58:00,93.7601,93.83,93.7601,93.81,2382.0
2020-09-18 13:59:00,93.82,93.82,93.82,93.82,504.0
2020-09-18 14:00:00,93.86,93.87,93.85,93.86,764.0
2020-09-18 14:01:00,93.87,93.87,93.83,93.83,1083.0
2020-09-18 14:02:00,93.76,93.79,93.62,93.66,2428.0
2020-09-18 14:03:00,93.735,93.735,93.72,93.72,706.0
2020-09-18 14:04:00,93.7,93.7,93.645,93.645,654.0
2020-09-18 14:05:00,93.68,93.775,93.67,93.76,1330.0
2020-09-18 14:06:00,93.81,93.9,93.81,93.9,1290.0
2020-09-18 14:07:00,93.92,93.92,93.86,93.86,1363.0
2020-09-18 14:08:00,93.91,93.92,93.91,93.92,757.0
2020-09-18 14:09:00,93.91,93.92,93.86,93.86,1748.0
2020-09-18 14:10:00,93.88,93.89,93.86,93.89,1111.0
2020-09-18 14:11:00,93.84,93.98,93.84,93.97,2236.0
2020-09-18 14:12:00,93.945,93.945,93.76,93.76,5555.0
2020-09-18 14:13:00,93.765,93.83,93.68,93.68,3252.0
2020-09-18 14:14:00,93.71,93.72,93.64,93.66,2388.0
2020-09-18 14:15:00,93.725,93.81,93.725,93.81,977.0
2020-09-18 14:16:00,93.79,93.81,93.75,93.79,1077.0
2020-09-18 14:17:00,93.83,93.84,93.83,93.83,1021.0
2020-09-18 14:18:00,93.75,93.75,93.59,93.66,4920.0
2020-09-18 14:19:00,93.68,93.69,93.63,93.63,1731.0
2020-09-18 14:20:00,93.6,93.6,93.38,93.455,7382.0
2020-09-18 14:21:00,93.45,93.555,93.45,93.555,2719.0
2020-09-18 14:22:00,93.565,93.66,93.565,93.66,1315.0
2020-09-18 14:23:00,93.67,93.81,93.67,93.8,1636.0
2020-09-18 14:24:00,93.805,93.92,93.805,93.9125,2669.0
2020-09-18 14:25:00,93.9,93.94,93.88,93.91,7313.0
2020-09-18 14:26:00,93.93,93.95,93.93,93.93,1410.0
2020-09-18 14:27:00,93.95,94.03,93.95,94.03,2128.0
2020-09-18 14:28:00,94.0,94.04,94.0,94.04,673.0
2020-09-18 14:30:00,93.83,93.85,93.83,93.85,2090.0
2020-09-18 14:31:00,93.78,93.82,93.78,93.82,1504.0
2020-09-18 14:32:00,93.83,93.83,93.77,93.77,514.0
2020-09-18 14:33:00,93.77,93.79,93.77,93.79,794.0
2020-09-18 14:34:00,93.8,93.855,93.8,93.82,1158.0
2020-09-18 14:35:00,93.81,93.85,93.81,93.835,983.0
2020-09-18 14:36:00,93.791,93.8096,93.77,93.77,1544.0
2020-09-18 14:37:00,93.76,93.76,93.75,93.75,413.0
2020-09-18 14:38:00,93.715,93.74,93.64,93.74,2605.0
2020-09-18 14:39:00,93.67,93.67,93.64,93.64,566.0
2020-09-18 14:40:00,93.65,93.65,93.565,93.6,2663.0
2020-09-18 14:41:00,93.5879,93.68,93.5879,93.68,1326.0
2020-09-18 14:42:00,93.68,93.7233,93.62,93.7233,1764.0
2020-09-18 14:43:00,93.68,93.68,93.44,93.44,1911.0
2020-09-18 14:44:00,93.45,93.485,93.41,93.48,4434.0
2020-09-18 14:45:00,93.39,93.46,93.39,93.46,1029.0
2020-09-18 14:46:00,93.485,93.57,93.485,93.57,1909.0
2020-09-18 14:47:00,93.56,93.63,93.56,93.59,2707.0
2020-09-18 14:48:00,93.62,93.68,93.62,93.645,2173.0
2020-09-18 14:49:00,93.69,94.03,93.69,93.99,56813.0
2020-09-18 14:50:00,93.99,94.09,93.96,94.09,9195.0
2020-09-18 14:51:00,94.065,94.065,93.97,94.0,7123.0
2020-09-18 14:52:00,94.0,94.12,93.99,94.09,6192.0
2020-09-18 14:53:00,94.1,94.13,94.06,94.12,2362.0
2020-09-18 14:54:00,94.1,94.255,94.02,94.25,16031.0
2020-09-18 14:55:00,94.24,94.27,94.21,94.24,20846.0
2020-09-18 14:56:00,94.24,94.29,94.24,94.25,7621.0
2020-09-18 14:57:00,94.27,94.29,94.15,94.29,19163.0
2020-09-18 14:58:00,94.275,94.28,94.26,94.28,1845.0
2020-09-18 14:59:00,94.305,94.34,94.27,94.28,3063.0
2020-09-18 15:00:00,94.3,94.46,94.3,94.46,3213.0
2020-09-18 15:01:00,94.51,94.54,94.44,94.52,4788.0
2020-09-18 15:02:00,94.53,94.72,94.525,94.72,11648.0
2020-09-18 15:03:00,94.68,94.7,94.65,94.7,3718.0
2020-09-18 15:04:00,94.69,94.8,94.69,94.78,6093.0
2020-09-18 15:05:00,94.8,94.83,94.8,94.82,1910.0
2020-09-18 15:06:00,94.82,94.83,94.78,94.8,5646.0
2020-09-18 15:07:00,94.8,94.88,94.8,94.86,3199.0
2020-09-18 15:08:00,94.86,95.12,94.84,95.02,31132.0
2020-09-18 15:09:00,95.05,95.1,94.98,95.04,8472.0
2020-09-18 15:10:00,95.06,95.09,95.045,95.08,3651.0
2020-09-18 15:11:00,95.12,95.14,95.04,95.07,3483.0
